,doc_id,chunk,text
0,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,1,The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder.
1,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,2,Ashish Vaswani is a researcher at Google Brain.
2,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,3,Noam Shazeer is a researcher at Google Brain.
3,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,4,Niki Parmar is a researcher at Google Research.
4,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,5,Jakob Uszkoreit is a researcher at Google Research.
5,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,6,Llion Jones is a researcher at Google Research.
6,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,7,Aidan N. Gomez is a researcher at the University of Toronto.
7,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,8,Łukasz Kaiser is a researcher at Google Brain.
8,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,9,Illia Polosukhin is a researcher.
9,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,10,Ashish Vaswani's email address is avaswani@google.com.
10,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,11,Noam Shazeer's email address is noam@google.com.
11,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,12,Niki Parmar's email address is nikip@google.com.
12,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,13,Jakob Uszkoreit's email address is usz@google.com.
13,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,14,Llion Jones's email address is llion@google.com.
14,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,15,Aidan N. Gomez's email address is aidan@cs.toronto.edu.
15,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,16,Łukasz Kaiser's email address is lukaszkaiser@google.com.
16,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,17,Illia Polosukhin's email address is illia.polosukhin@gmail.com.
17,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,18,The best performing models also connect the encoder and decoder through an attention mechanism.
18,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,19,"We propose a new simple network architecture, the Transformer."
19,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,20,The Transformer is based solely on attention mechanisms.
20,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,21,The Transformer dispenses with recurrence and convolutions entirely.
21,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,22,Experiments on two machine translation tasks show these models to be superior in quality.
22,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,23,These models are more parallelizable.
23,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,24,These models require significantly less time to train.
24,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,25,Our model achieves 28.4 BLEU on the WMT 2014 English-to-German translation task.
25,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,26,The WMT 2014 English-to-German translation task is a benchmark task.
26,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,27,Our model improves over the existing best results on the WMT 2014 English-to-German translation task.
27,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,28,The existing best results on the WMT 2014 English-to-German translation task include ensembles.
28,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,29,Our model improves over the existing best results by over 2 BLEU.
29,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,30,Our model establishes a new single-model state-of-the-art BLEU score of 41.8 on the WMT 2014 English-to-French translation task.
30,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,31,The model was trained for 3.5 days on eight GPUs.
31,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,32,The training costs of the model are a small fraction of the training costs of the best models from the literature.
32,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,33,We show that the Transformer generalizes well to other tasks.
33,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,34,The Transformer was applied successfully to English constituency parsing.
34,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,35,The Transformer was applied successfully to English constituency parsing both with large and limited training data.
35,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,36,Recurrent neural networks have been firmly established as state-of-the-art approaches in sequence modeling.
36,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,37,Long short-term memory [13] and gated recurrent [7] neural networks are recurrent neural networks.
37,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,38,Long short-term memory [13] and gated recurrent [7] neural networks have been firmly established as state-of-the-art approaches in sequence modeling.
38,9bce526f29338990687593c102f3a43ca5cd4b63f626d5872c48ce102b333170,39,The earliest evidence for the Easter Hare was recorded in south-west Germany in 1678 by Georg Franck von Franckenau.
